content,score,at
akun saya kena hack dan saya meminta bantuan kepada pihak facebook tapi ko gaada balesan apa² sih malah yang ada di persulit,1,2022-03-11 14:40:34
fb makin kacau...keseringan update..trus saat buka fb enak2 ntn video tiba2 berubaj sendiri ke mode gratis..paket masih puluhan GB..aneh..di aktifkan pake data selang bbrp menit pindah lagi k mode gratis,1,2022-03-11 14:38:39
Bintang 1 terlalu bagus buat facebook sekarang... Tanpa sebab yg jelas... Akun facebook di matikan... Ajukan banding jawaban nya efek copid petugas kami lagi pada sibuk... Jadi tidak bisa meninjau akun anda... Jika di log out tulisan nya.. Akun anda akan di nonaktifkan dalam 30 hari.. Owh busuk sekali,1,2022-03-11 14:24:30
"Isi beranda facebook ku iklan semua,,benar2 tidak nyaman dengan iklannya,,tolong dong pihak facebok,,di blokir iklan2 d beranda itu..sangat tidak nyaman..karena saya sudah coba berbagai hal.hapus satu muncul yg lain.",5,2022-03-11 14:01:42
"Facebook sekarang kurang nyaman dan kurang asik. Gak ada apa2 Facebook qw g bisa dibuka lagi, terlalu payah dan diminta tanda pengenal dan sudah dikasih masih saja ngulangin hal sama kirim identitas Mulu.",1,2022-03-11 13:58:22
Kalian mending nga usah deh download aplikasi ini karena nanti bisa eror nga bisa di buka kaya punya aku sebel aku deh👎,1,2022-03-11 13:32:59
"kenapa fb skrg terlalu ribet, komen2 bernada becanda malah di anggap pelanggaran, perasaan dluar sana banyak bahasa yg lebih buruk nyata ny mereka lolos gk ada tuh fb ny bertulis pelanggaran sampe gk bisa update ato komen ap2 di fb",4,2022-03-11 13:00:20
Halo terimakasih atas aplikasi Facebook ini aplikasi ini telah mempertumakan saya dengan teman teman saya terimakasih 🤗🤗,5,2022-03-11 12:18:05
"Kenapa sekarang mau ganti nama akun saya di fb susah bgt. Padahal 1 bulan yg lalu itu enteng "" Aja, ngk ada mslh. Tolonglah sistem nya mohon di perbaiki",1,2022-03-11 11:41:39
Sya kasih bintang satu kerabat aku sya banned sya ga ada berbuat kesalahan maupun Girim video yg ga senonoh saya pkay FB buat akun pubg sya dan sekarang hilang sya rugi sekitar jutaan gara gara akun Fecebook sekian terima kasih sya tidak pernah membuat kesalahan cuma untuk akun pubg doang malah di banned mana penagunjawaban nya I'm very sorry here,1,2022-03-11 11:26:27
"gak ada penyebab tiba"" akun di nonaktifkan karena umur tidak cukup , peak banget gak jelas , makanya bangkrut nih fb lama"" di tinggal peminat.",1,2022-03-11 10:49:37
"Overall aplikasi ini tuh type social media, dan banyak juga sih yang tau aplikasi ini i think this so great bagus aja gitu.",5,2022-03-11 10:21:17
"Masa saya mau ganti nomor, sama email gk bisa ini facebook rusak apa gimana, saya mau login jadi susah gara² gk bisa ganti nomor sama email, tolong pihak facebook di benerin, saya juga sudah pernah ngerespon tapi gak di bantu, pas waktu akun saya ke nonaktifkan, emg pihak facebook gk mau bantu !!!",1,2022-03-11 09:44:21
"Halo , tolong aktifkan lagi akun saya karna saya biasa nya login pake akun fb , tapo sekarang dh gk bisa dipake lagi, karma kemaren saya coba ganti tgl lahir eh malah dinonaktif......makasih",4,2022-03-11 08:27:18
"Wooiii FB Video Mengandung unsur seksual masih bebas,Saya comentar ada kata Tembak kepala malah diblokir 24 jam.Taeeekķk!!!!Jancuuk!!",1,2022-03-11 07:56:30
"Mau upload foto tapi gak terakses semua foto yang ada di galery, biasanya langsung muncul semua yang digaleri dan bisa bebas pilih",3,2022-03-11 06:23:12
Aplikasi FB ini semakin menarik. Muncul fitur baru yang memberikan pilihan untuk melengkapi banyak konten.,5,2022-03-11 06:18:08
Maaf ya buat admin nya .. kalo mau memberi pelangaran di saat membuat sttus jngan terlalu bnyak.. masa sampai 30 hari.. kan parah.. masa baru buat sttus kata yg kurang berkenan bagi anda anda kena kan sanksi 30 hari . Gak pakai otak lo,1,2022-03-11 06:14:18
"Bingung benerlh, kenapa mesti sinkron ke fb , saya gak sengaja klik ok sinkron dr ig saya ke fb dan tiba2 ig saya tifak bisa update story, nama profil , ganti profil ig juga tdk bisa padahal uda saya atur d pusat pengaturan meta di fb dan ig saya. Ribet banget elahhh.",1,2022-03-11 05:59:23
"Sangat menjijikan adanya ketidak netralan atas perang rusia ukraina, anda membolehkan orang orang untuk memberikan ujaran kebencian terhadap rusia.",1,2022-03-11 05:18:33
Mau ganti nama account susah banget bikin kesel...... Tolong di perbaiki Facebook nya. Aku kasih bintang 1,1,2022-03-11 04:59:35
"saya suka fb nya di perbahrui dan ada video REELS nya, tapi kurang memuaskan penggemar reels soalnya durasinya pendek bangetss. Kali boleh durasinya di perpanjang 1 menit kedepannya ya.... oke itu aja.. maaf kasi bintang 3 dulu.",3,2022-03-11 04:38:34
"Facebook lambat menanggapi permasalahan pengguna facebook. Contohnya, lambat bahkan tidak mengirim kode autentifikasi dua faktor ke nomor handphone atau email, ketika pengguna Facebook lupa dengan kode autentifikasi dua faktor akunnya. Tolong cepat direspon atau dibalas ke handphone atau alamat emaiknyat",1,2022-03-11 04:27:24
"Kenapa akun saya d blok,saya tidak pernah post atau komen yang melanggar hukum/kominfo.saya mohon kepihak fb supaya di tinjau/koreksi lagi jangan asal menonaktipkan saja.saya mohon aktipkan fb saya lagi.",1,2022-03-11 03:18:05
Kenapa akun Facebook gue hilang padahal itu banyak kenangan kenangannya tolong Facebook kebalikan akun saya jangan di banned dong padahal gue posting gak ada 18+ nya giliran posting yang negatif gak di banned mau apa kalian hah banned banned akun orang sembarangan kecewa sumpah!!!,1,2022-03-11 02:55:59
"Saya heran knpa tiba"" FB saya tdk bisa di buka lagi.ada apa sebenarnya.dn tidak di jls kn titik mana yg mempunya pelangaran sihinga tiba"" tdk bisa di buka.",4,2022-03-11 02:44:46
"ni gimana sih bisa"" nya orang ngambil akun tanpa sepengetahuan kita gimana ini pihak Facebook apakah anda diam saja akun disana penting"" aduhh",1,2022-03-11 01:42:02
"Mw nanya ko saya GK bisa buka video dari Facebook,dari paket masih ada.entah apa masalah e?????",2,2022-03-11 01:33:28
"Facebook versi sekarang kenapa ya,baru buat akun hari Kamis ko sekarang udah dinonaktifkan dengan alasan ""Aktivitas Tidak Wajar"".padahal belum dipake sama sekali",1,2022-03-10 23:37:46
