appId;title;created;updated;score;summary;description;installs;maxInstalls;ratings;reviews;price;free;androidVersionText;developer;genre;genreId;contentRating;adSupported;released;recentChanges;editorsChoice;url;icon;programmingLanguage;libraries
com.facebook.katana;Facebook;21/05/2022 20:14:36;04/02/2023 0:09:48;3,21;Mantén el contacto con tus amigos más rápido que nunca.;"Ahora es más rápido y sencillo que nunca mantenerse en contacto con tus amigos . Comparte actualizaciones y fotos, interactúa con amigos y páginas, y mantente en contacto con las comunidades que más te importan.

Facebook ofrece, entre otras, las siguie";5.000.000.000+;2147483647;132466101;4160715;0;1;Varies with device;Meta Platforms, Inc.;Social;SOCIAL;Para mayores de 13 años;1;;;0;https://play.google.com/store/apps/details?id=com.facebook.katana&hl=es&gl=us;https://play-lh.googleusercontent.com/ccWDU4A7fX1R24v-vvT480ySh26AYp97g1VrIB_FIdjRcuQB2JP2WdY7h_wVVAeSpg;Kotlin;webrtc|firebase|facebook
com.facebook.orca;Messenger;21/05/2022 20:14:36;04/02/2023 0:09:48;4,08;Chats de vídeo en grupo, videollamadas, llamadas de voz y mensajes gratuitos.;"Conecta en todo momento gracias a nuestra aplicación integral y gratuita* de comunicaciones. Con ella, tendrás acceso a funciones de voz, mensajes, chats de vídeo y videollamadas.
 MENSAJES Y LLAMADAS ENTRE APLICACIONES
 Conecta con tus amigos de Instag";5.000.000.000+;2147483647;86213575;2386358;0;1;393.0.0.18.92;Meta Platforms, Inc.;Comunicación;COMMUNICATION;Para todos;0;30 ene 2014;;0;https://play.google.com/store/apps/details?id=com.facebook.orca&hl=es&gl=us;https://play-lh.googleusercontent.com/ldcQMpP7OaVmglCF6kGas9cY_K0PsJzSSosx2saw9KF1m3RHaEXpH_9mwBWaYnkmctk;Kotlin;webrtc|firebase|facebook
com.facebook.lite;Facebook Lite;21/05/2022 20:14:36;04/02/2023 0:09:48;4,04;This version of Facebook uses less data and works in all network conditions.;Keeping up with friends is faster and easier than ever with the Facebook Lite app! Use Facebook Lite as a friends app to connect and keep up with your social network. The Facebook Lite app is small, allowing you to save space on your phone and use Faceboo;1.000.000.000+;2147483647;23884445;104190;0;1;Varies with device;Meta Platforms, Inc.;Social;SOCIAL;Para mayores de 13 años;1;15 mar 2018;;0;https://play.google.com/store/apps/details?id=com.facebook.lite&hl=es&gl=us;https://play-lh.googleusercontent.com/5pZMqQYClc5McEjaISPkvhF8pDmlbLqraTMwk1eeqTlnUSjVxPCq-MItIrJPJGe7xW4;Kotlin;firebase|facebook
com.facebook.mlite;Messenger Lite;21/05/2022 20:14:36;15/01/2023 0:05:19;4,19;Una versión de Messenger más rápida que pesa menos de 10 MB al descargarse.;"Una aplicación de mensajería rápida, que usa los datos de forma eficiente, para comunicarte con las personas importantes para ti. Messenger Lite:

- Se instala rápido. Ocupa menos de 10 MB.
- Ahorra datos. Se carga rápido, funciona de forma eficiente y";500.000.000+;924952069;5525522;58508;0;1;329.0.0.8.106;Meta Platforms, Inc.;Comunicación;COMMUNICATION;Para todos;0;2 oct 2017;;1;https://play.google.com/store/apps/details?id=com.facebook.mlite&hl=es&gl=us;https://play-lh.googleusercontent.com/I6iR-zi371fJJsGnqwnY8uUmeYqv-_erzVbVBhyASixDReX2JUuIhgXjtV9OrA-_nQI;Kotlin;okhttp3|firebase|facebook
com.facebook.talk;Messenger Kids - La app de men;21/05/2022 20:14:36;04/02/2023 0:48:05;3,82;Mensajes y videochats más seguros para los niños.;"Messenger Kids ofrece...  

Más control para los padres

. Los padres aprueban todos los contactos para que sus hijos puedan chatear en un entorno más seguro y controlado.
. Los padres pueden eliminar un contacto cuando quieran.
. Los padres pueden ";10.000.000+;23413267;192492;37931;0;1;232.0.0.2.197;Meta Platforms, Inc.;Comunicación;COMMUNICATION;Para todos;0;14 feb 2018;;0;https://play.google.com/store/apps/details?id=com.facebook.talk&hl=es&gl=us;https://play-lh.googleusercontent.com/vwlHz3KjU8Cy1YBUsXI6Jnn-N_LdEMmOptzJeKBKDQvt2N5XjNbDqlpRyrm6_UkSjLc;Kotlin;webrtc|firebase|facebook
downloadvideofacebook.app;Video Downloader for Facebook;21/05/2022 20:15:54;23/05/2022 10:27:37;4,1;Descarga el video de Facebook sin iniciar sesión, soporta la descarga de videos HD ???;"Want to download facebook video?
Well, you are at the Right App page ?
        
How to use?
1. From facebook app, click ?Share?.
2. Choose ?More Options??
3. Choose ?Facebook Video Downloader? app.
4. Choose the desired video quality(Recommended HD";1.000.000+;2307200;22076;285;0;1;4.0.3 y versiones posteriores;Photo and Video App;Herramientas;TOOLS;Para todos;1;17 may 2018;? Support download in the background.<br>? Support cancel a download.<br>? Improve app performance.<br>? Bugs fixed.;0;https://play.google.com/store/apps/details?id=downloadvideofacebook.app;https://play-lh.googleusercontent.com/0qCgXyt7_A1A6o_pZ3SLipO2NMoF-tLZHRoprLo2zwi9L2b0KVG_g-80X1axc-5cIpbW;Kotlin;okhttp3|firebase|facebook
com.nbapstudio.facebooklite;Faster for Facebook Lite;21/05/2022 20:15:54;23/05/2022 10:27:21;4,1;Cliente de fiesta rápida y rápida para Facebook. Ayuda a ahorrar almacenamiento y batería.;;;;;;0;1;;NBapstudio;;;;;;;;https://play.google.com/store/apps/details?id=com.nbapstudio.facebooklite;https://play-lh.googleusercontent.com/4jorBoGmH5Ck2mJr2lOHFujj6AnXt44oXIX1H1KWFAyMr_x2xo6qsZqeVfgaPigFf90;;
com.tikachu.tiktok.tikfame.facebook.twitter.instagram.followers.likes.view.shares.buy.fans.tikpopular.tikfans;;21/05/2022 20:19:32;16/09/2022 3:44:08;;;;;481184;;;;;Varies with device;TikFans Team;;;;;;;0;https://play.google.com/store/apps/details?id=com.tikachu.tiktok.tikfame.facebook.twitter.instagram.followers.likes.view.shares.buy.fans.tikpopular.tikfans&hl=es&gl=us;;;
com.facebook.creatorstudio;Creator Studio;22/05/2022 18:47:46;10/01/2023 9:23:25;4,35;Su solución sobre la marcha para la gestión de contenidos, mediciones y comunicaciones.;"With a host of tools designed to make scheduling, analyzing and monetizing your videos easier than ever, the Creator Studio app has something for anyone looking to bring the very best content to their audience.  

Creator Studio highlights: 

A Robust";5.000.000+;4886165;418302;2153;0;1;127.0.0.5.108;Meta Platforms, Inc.;Empresa;BUSINESS;Para todos;0;18 feb 2020;;0;https://play.google.com/store/apps/details?id=com.facebook.creatorstudio&hl=es&gl=us;https://play-lh.googleusercontent.com/mkteeCLsz1KY6WBGus4gXZlSMLsjX_xPEaNzgIibFibgpD_nAmVacMTIFH8Sbft9sWU;Desconocido;
com.facebook.study;Study from Facebook;22/05/2022 18:47:46;23/05/2022 8:05:30;4,35;Una app para los participantes invitados a Study from Facebook.;"Los participantes de Facebook Viewpoints invitados al programa Study deberán descargar esta app para participar. Si no te invitaron a este programa, la app no funcionará en tu teléfono.

Información sobre Study from Facebook:
Las estadísticas de este p";1.000.000+;1054916;31602;2856;0;1;5.0 y versiones posteriores;Meta Platforms, Inc.;Herramientas;TOOLS;Para todos;0;11 jun 2019;;0;https://play.google.com/store/apps/details?id=com.facebook.study;https://play-lh.googleusercontent.com/iVd0Ka61D_fhUkveOqe2lrfvB4raSJfFffViDQrXeF0LSRokxA9pFPb2i7bc7rUQlK8;Kotlin;okhttp3|firebase|facebook
